USER: d8ea183c5c1aa1eb1d9f8b7677c4b2 || AGREED: True
USER: efe3e9656f07991690a7ef1d71908b || GOAL_INDICES: 0,1,1
USER: 4d1e5f75ce5b1667a380c39564e7c9 || AGREED: True
USER: 4d1e5f75ce5b1667a380c39564e7c9 || GROUP: faq
USER: 4d1e5f75ce5b1667a380c39564e7c9 || GOAL_INDICES: 1,4,2
USER: f38236a5f7c6508911e80b31f4182c || AGREED: True
USER: f38236a5f7c6508911e80b31f4182c || GROUP: hdc
USER: f38236a5f7c6508911e80b31f4182c || GOAL_INDICES: 2,3,3
USER: e72da9c2e198c53139a7c7be5dac00 || AGREED: True
USER: e72da9c2e198c53139a7c7be5dac00 || GROUP: faq
USER: e72da9c2e198c53139a7c7be5dac00 || GOAL_INDICES: 1,1,3
USER: bf4b5adecf96a4d3eccdcf42e32d91 || AGREED: True
USER: bf4b5adecf96a4d3eccdcf42e32d91 || GROUP: hdc
USER: bf4b5adecf96a4d3eccdcf42e32d91 || GOAL_INDICES: 2,1,4
USER: 67cba9f2d1db9fdeac97614b90d3d0 || AGREED: True
USER: 67cba9f2d1db9fdeac97614b90d3d0 || GROUP: faq
USER: 67cba9f2d1db9fdeac97614b90d3d0 || GOAL_INDICES: 0,2,2
USER: e5cb9660f35b9a87793344d8882510 || AGREED: True
USER: e5cb9660f35b9a87793344d8882510 || GROUP: hdc
USER: e5cb9660f35b9a87793344d8882510 || GOAL_INDICES: 1,0,0
USER: a8ce5b01446119bd11123e13fb1607 || AGREED: True
USER: a8ce5b01446119bd11123e13fb1607 || GROUP: faq
USER: a8ce5b01446119bd11123e13fb1607 || GOAL_INDICES: 2,4,4
USER: a3b3dff3fa294af607a57ff19c591d || AGREED: True
USER: a3b3dff3fa294af607a57ff19c591d || GROUP: hdc
USER: a3b3dff3fa294af607a57ff19c591d || GOAL_INDICES: 3,0,1
USER: 1d6610aff8f95079a27b87ed0804c5 || AGREED: True
USER: 1d6610aff8f95079a27b87ed0804c5 || GROUP: faq
USER: 1d6610aff8f95079a27b87ed0804c5 || GOAL_INDICES: 3,2,1
USER: 232cd8e82603855aebc8caa4d53fc1 || AGREED: True
USER: 232cd8e82603855aebc8caa4d53fc1 || GROUP: hdc
USER: 232cd8e82603855aebc8caa4d53fc1 || GOAL_INDICES: 0,1,1
USER: 000650684db95bdac754d1c314c481 || AGREED: True
USER: 000650684db95bdac754d1c314c481 || GROUP: faq
USER: 000650684db95bdac754d1c314c481 || GOAL_INDICES: 2,3,3
